12:01:29.0	POWER
12:01:30.0	TIME 12:01:30.0
12:01:31.0	ENDRUN
12:01:32.0	EVENT PARIND
12:01:34.0	NEWRUN
12:01:36.0	TOG 1
12:01:38.0	TOG 2
12:01:40.0	TOG 3
12:01:42.0	TOG 4
12:01:44.0	NUM 272
12:01:46.0	NUM 123
12:01:48.0	NUM 111
12:01:50.0	NUM 711
12:01:52.0	TRIG 1
12:01:54.0	TRIG 3
12:01:56.0	TRIG 3
12:01:58.0	TRIG 1
12:02:25.0	TRIG 2
12:02:32.0	TRIG 2
12:02:33.0	TRIG 4
12:02:41.0	TRIG 4
12:02:43.0	PRINT
12:02:45.0	ENDRUN
12:03:33.0	EXPORT 1
12:04:30.0	TIME 12:01:30.0
12:01:34.0	NEWRUN
12:01:44.0	NUM 272
12:01:46.0	NUM 123
12:01:48.0	NUM 111
12:01:52.0	TRIG 1
12:01:54.0	TRIG 3
12:01:56.0	TRIG 3
12:01:58.0	TRIG 1
12:02:25.0	TRIG 2
12:02:32.0	TRIG 2
12:02:33.0	TRIG 4
12:02:41.0	TRIG 4
12:02:43.0	PRINT
12:03:00.0	ENDRUN
12:03:29.0	RESET
12:04:30.0	TIME 12:01:30.0
12:01:32.0	EVENT PARIND
12:01:34.0	NEWRUN
12:01:36.0	TOG 1
12:01:38.0	TOG 2
12:01:40.0	TOG 3
12:01:42.0	TOG 4
12:01:44.0	NUM 272
12:01:46.0	NUM 123
12:01:52.0	TRIG 1
12:01:54.0	TRIG 3
12:01:56.0	TRIG 3
12:01:58.0	TRIG 1
12:02:25.0	TRIG 2
12:02:32.0	TRIG 2
12:02:33.0	TRIG 4
12:02:41.0	TRIG 4
12:02:45.0	ENDRUN
12:02:47.0	PRINT
12:02:50.0	EXPORT 2
12:02:52.0	EXPORT 3
12:02:55.0	POWER
12:03:00.0	EXIT
